ec5_branch_owner_uuid,ec5_branch_uuid,created_at,uploaded_at,title,data_rinnovo,validita_rinnovo,nuovi_espatri,note_esp_rinnovi
5c3b8820-e645-11ec-a2fc-f955dff64c97,6cc192c0-e645-11ec-a2fc-f955dff64c97,2022-06-07T09:37:19.340Z,2022-06-07T09:37:34.000Z,6cc192c0-e645-11ec-a2fc-f955dff64c97,1899,"6 mesi",Europa,
0cf5ccd0-e645-11ec-a2fc-f955dff64c97,1de0dad0-e645-11ec-a2fc-f955dff64c97,2022-06-07T09:35:07.005Z,2022-06-07T09:35:17.000Z,1de0dad0-e645-11ec-a2fc-f955dff64c97,1896,3,Europa,
de371840-e644-11ec-a2fc-f955dff64c97,04bed570-e645-11ec-a2fc-f955dff64c97,2022-06-07T09:34:24.839Z,2022-06-07T09:34:34.000Z,04bed570-e645-11ec-a2fc-f955dff64c97,1898,1,Austria-Ungheria,
de371840-e644-11ec-a2fc-f955dff64c97,00330bc0-e645-11ec-a2fc-f955dff64c97,2022-06-07T09:34:17.212Z,2022-06-07T09:34:35.000Z,00330bc0-e645-11ec-a2fc-f955dff64c97,1897,1,Austria-Ungheria,
de371840-e644-11ec-a2fc-f955dff64c97,f9e790b0-e644-11ec-a2fc-f955dff64c97,2022-06-07T09:34:06.651Z,2022-06-07T09:34:35.000Z,f9e790b0-e644-11ec-a2fc-f955dff64c97,1896,"5 mesi",Austria-Ungheria,
de371840-e644-11ec-a2fc-f955dff64c97,f1b701f0-e644-11ec-a2fc-f955dff64c97,2022-06-07T09:33:52.911Z,2022-06-07T09:34:36.000Z,f1b701f0-e644-11ec-a2fc-f955dff64c97,1895,3,Europa,
de371840-e644-11ec-a2fc-f955dff64c97,ecdfb050-e644-11ec-a2fc-f955dff64c97,2022-06-07T09:33:44.789Z,2022-06-07T09:34:37.000Z,ecdfb050-e644-11ec-a2fc-f955dff64c97,1892,3,"Austria, Germania",
bcd2d0e0-e644-11ec-a2fc-f955dff64c97,d6846c10-e644-11ec-a2fc-f955dff64c97,2022-06-07T09:33:07.282Z,2022-06-07T09:33:17.000Z,d6846c10-e644-11ec-a2fc-f955dff64c97,1901,3,Austria-Ungheria,
bcd2d0e0-e644-11ec-a2fc-f955dff64c97,d15e1010-e644-11ec-a2fc-f955dff64c97,2022-06-07T09:32:58.641Z,2022-06-07T09:33:18.000Z,d15e1010-e644-11ec-a2fc-f955dff64c97,1897,3,Europa,
bcd2d0e0-e644-11ec-a2fc-f955dff64c97,ccbdacf0-e644-11ec-a2fc-f955dff64c97,2022-06-07T09:32:50.879Z,2022-06-07T09:33:18.000Z,ccbdacf0-e644-11ec-a2fc-f955dff64c97,1894,3,Austria-Ungheria,
